frame,video_time,scoreboard_present
1692,28.228,0
1704,28.428,0
1716,28.629,0
1728,28.829,0
1740,29.029,0
1752,29.229,0
1764,29.429,0
1776,29.63,0
1788,29.83,0
1800,30.03,0
1812,30.23,0
1824,30.43,0
1836,30.631,0
1848,30.831,0
1860,31.031,0
1872,31.231,0
1884,31.431,0
1896,31.632,0
1908,31.832,0
1920,32.032,0
1932,32.232,0
1944,32.432,0
1956,32.633,0
1968,32.833,0
1980,33.033,0
1992,33.233,0
2004,33.433,0
2016,33.634,0
2028,33.834,0
2040,34.034,0
2052,34.234,0
2064,34.434,0
2076,34.635,0
2088,34.835,0
2100,35.035,0
2112,35.235,0
2124,35.435,0
2136,35.636,0
2148,35.836,0
2160,36.036,0
2172,36.236,0
2184,36.436,1
2196,36.637,1
2208,36.837,0
2220,37.037,0
2232,37.237,0
2244,37.437,0
2256,37.638,0
2268,37.838,0
2280,38.038,0
2292,38.238,0
2304,38.438,0
2316,38.639,0
2328,38.839,0
2340,39.039,0
2352,39.239,0
2364,39.439,0
2376,39.64,0
2388,39.84,0
2400,40.04,0
2412,40.24,0
2424,40.44,0
2436,40.641,0
2448,40.841,0
2460,41.041,0
2472,41.241,0
2484,41.441,0
2496,41.642,0
2508,41.842,0
2520,42.042,0
2532,42.242,0
2544,42.442,0
2556,42.643,0
2568,42.843,0
2580,43.043,0
2592,43.243,0
2604,43.443,0
2616,43.644,0
2628,43.844,0
2640,44.044,0
2652,44.244,0
2664,44.444,0
2676,44.645,0
2688,44.845,0
2700,45.045,0
2712,45.245,0
2724,45.445,0
2736,45.646,0
2748,45.846,0
2760,46.046,0
2772,46.246,0
2784,46.446,0
2796,46.647,0
2808,46.847,0
2820,47.047,0
2832,47.247,0
2844,47.447,0
2856,47.648,0
2868,47.848,0
2880,48.048,0
2892,48.248,0
2904,48.448,0
2916,48.649,0
2928,48.849,0
2940,49.049,0
2952,49.249,0
2964,49.449,0
2976,49.65,0
2988,49.85,0
3000,50.05,0
3012,50.25,0
3024,50.45,0
3036,50.651,0
3048,50.851,0
3060,51.051,0
3072,51.251,0
3084,51.451,0
3096,51.652,0
3108,51.852,0
3120,52.052,0
3132,52.252,0
3144,52.452,0
3156,52.653,0
3168,52.853,0
3180,53.053,0
3192,53.253,0
3204,53.453,0
3216,53.654,0
3228,53.854,0
3240,54.054,0
3252,54.254,0
3264,54.454,0
3276,54.655,0
3288,54.855,0
3300,55.055,0
3312,55.255,0
3324,55.455,0
3336,55.656,0
3348,55.856,0
3360,56.056,0
3372,56.256,0
3384,56.456,0
3396,56.657,0
3408,56.857,0
3420,57.057,0
3432,57.257,0
3444,57.457,0
3456,57.658,0
3468,57.858,0
3480,58.058,0
3492,58.258,0
3504,58.458,0
3516,58.659,0
3528,58.859,0
3540,59.059,0
3552,59.259,0
3564,59.459,0
3576,59.66,0
3588,59.86,0
3600,60.06,0
3612,60.26,0
3624,60.46,0
3636,60.661,0
3648,60.861,0
3660,61.061,0
3672,61.261,0
3684,61.461,0
3696,61.662,0
3708,61.862,0
3720,62.062,0
3732,62.262,0
3744,62.462,0
3756,62.663,0
3768,62.863,0
3780,63.063,0
3792,63.263,0
3804,63.463,0
3816,63.664,0
3828,63.864,0
3840,64.064,0
3852,64.264,0
3864,64.464,0
3876,64.665,0
3888,64.865,0
3900,65.065,0
3912,65.265,0
3924,65.465,0
3936,65.666,0
3948,65.866,0
3960,66.066,0
3972,66.266,0
3984,66.466,0
3996,66.667,0
4008,66.867,0
4020,67.067,0
4032,67.267,0
4044,67.467,0
4056,67.668,0
4068,67.868,0
4080,68.068,0
4092,68.268,0
4104,68.468,0
4116,68.669,0
4128,68.869,0
4140,69.069,0
4152,69.269,0
4164,69.469,0
4176,69.67,0
4188,69.87,0
4200,70.07,0
4212,70.27,0
4224,70.47,0
4236,70.671,0
4248,70.871,0
4260,71.071,0
4272,71.271,0
4284,71.471,0
4296,71.672,0
4308,71.872,0
4320,72.072,0
4332,72.272,0
4344,72.472,0
4356,72.673,0
4368,72.873,0
4380,73.073,0
4392,73.273,0
4404,73.473,0
4416,73.674,0
4428,73.874,0
4440,74.074,0
4452,74.274,0
4464,74.474,0
4476,74.675,0
4488,74.875,0
4500,75.075,0
4512,75.275,0
4524,75.475,0
4536,75.676,0
4548,75.876,0
4560,76.076,0
4572,76.276,0
4584,76.476,0
4596,76.677,0
4608,76.877,0
4620,77.077,0
4632,77.277,0
4644,77.477,0
4656,77.678,0
4668,77.878,0
4680,78.078,0
4692,78.278,0
4704,78.478,0
4716,78.679,0
4728,78.879,0
4740,79.079,0
4752,79.279,0
4764,79.479,0
4776,79.68,0
4788,79.88,0
4800,80.08,0
4812,80.28,0
4824,80.48,0
4836,80.681,0
4848,80.881,0
4860,81.081,0
4872,81.281,0
4884,81.481,0
4896,81.682,0
4908,81.882,0
4920,82.082,0
4932,82.282,0
4944,82.482,0
4956,82.683,1
4968,82.883,1
4980,83.083,1
4992,83.283,1
5004,83.483,1
5016,83.684,1
5028,83.884,1
5040,84.084,1
5052,84.284,1
5064,84.484,1
5076,84.685,1
5088,84.885,1
5100,85.085,1
5112,85.285,1
5124,85.485,1
5136,85.686,1
5148,85.886,1
5160,86.086,1
5172,86.286,1
5184,86.486,1
5196,86.687,1
5208,86.887,1
5220,87.087,1
5232,87.287,1
5244,87.487,1
5256,87.688,1
5268,87.888,1
5280,88.088,1
5292,88.288,1
5304,88.488,1
5316,88.689,1
5328,88.889,1
5340,89.089,1
5352,89.289,1
5364,89.489,1
5376,89.69,1
5388,89.89,1
5400,90.09,1
5412,90.29,0
5424,90.49,0
5436,90.691,0
5448,90.891,0
5460,91.091,0
5472,91.291,0
5484,91.491,0
5496,91.692,0
5508,91.892,0
5520,92.092,0
5532,92.292,0
5544,92.492,0
5556,92.693,0
5568,92.893,0
5580,93.093,0
5592,93.293,0
5604,93.493,0
5616,93.694,0
5628,93.894,0
5640,94.094,1
5652,94.294,1
5664,94.494,1
5676,94.695,1
5688,94.895,1
5700,95.095,1
5712,95.295,1
5724,95.495,1
5736,95.696,1
5748,95.896,1
5760,96.096,1
5772,96.296,1
5784,96.496,1
5796,96.697,1
5808,96.897,1
5820,97.097,1
5832,97.297,1
5844,97.497,1
5856,97.698,1
5868,97.898,1
5880,98.098,1
5892,98.298,1
5904,98.498,1
5916,98.699,1
5928,98.899,1
5940,99.099,1
5952,99.299,1
5964,99.499,1
5976,99.7,1
5988,99.9,1
6000,100.1,1
6012,100.3,1
6024,100.5,1
6036,100.701,1
6048,100.901,1
6060,101.101,1
6072,101.301,1
6084,101.501,1
6096,101.702,1
6108,101.902,1
6120,102.102,1
6132,102.302,1
6144,102.502,1
6156,102.703,1
6168,102.903,1
6180,103.103,1
6192,103.303,1
6204,103.503,1
6216,103.704,1
6228,103.904,1
6240,104.104,1
6252,104.304,1
6264,104.504,1
6276,104.705,1
6288,104.905,1
6300,105.105,1
6312,105.305,1
6324,105.505,1
6336,105.706,1
6348,105.906,1
6360,106.106,1
6372,106.306,1
6384,106.506,1
6396,106.707,1
6408,106.907,1
6420,107.107,1
6432,107.307,1
6444,107.507,1
6456,107.708,1
6468,107.908,1
6480,108.108,1
6492,108.308,1
6504,108.508,1
6516,108.709,1
6528,108.909,1
6540,109.109,1
6552,109.309,1
6564,109.509,1
6576,109.71,1
6588,109.91,1
6600,110.11,1
6612,110.31,1
6624,110.51,1
6636,110.711,1
6648,110.911,1
6660,111.111,1
6672,111.311,1
6684,111.511,1
6696,111.712,1
6708,111.912,1
6720,112.112,1
6732,112.312,1
6744,112.512,1
6756,112.713,1
6768,112.913,1
6780,113.113,1
6792,113.313,1
6804,113.513,1
6816,113.714,1
6828,113.914,1
6840,114.114,1
6852,114.314,1
6864,114.514,1
6876,114.715,1
6888,114.915,1
6900,115.115,1
6912,115.315,1
6924,115.515,1
6936,115.716,1
6948,115.916,1
6960,116.116,1
6972,116.316,1
6984,116.516,1
6996,116.717,1
7008,116.917,1
7020,117.117,1
7032,117.317,1
7044,117.517,1
7056,117.718,1
7068,117.918,1
7080,118.118,1
7092,118.318,1
7104,118.518,1
7116,118.719,1
7128,118.919,1
7140,119.119,1
7152,119.319,1
7164,119.519,1
7176,119.72,1
7188,119.92,1
7200,120.12,1
7212,120.32,1
7224,120.52,1
7236,120.721,1
7248,120.921,1
7260,121.121,1
7272,121.321,1
7284,121.521,1
7296,121.722,1
7308,121.922,1
7320,122.122,1
7332,122.322,1
7344,122.522,1
7356,122.723,1
7368,122.923,1
7380,123.123,1
7392,123.323,1
7404,123.523,1
7416,123.724,1
7428,123.924,1
7440,124.124,1
7452,124.324,1
7464,124.524,1
7476,124.725,1
7488,124.925,1
7500,125.125,1
7512,125.325,1
7524,125.525,1
7536,125.726,1
7548,125.926,1
7560,126.126,1
7572,126.326,1
7584,126.526,1
7596,126.727,1
7608,126.927,1
7620,127.127,1
7632,127.327,1
7644,127.527,1
7656,127.728,1
7668,127.928,1
7680,128.128,1
7692,128.328,1
7704,128.528,1
7716,128.729,1
7728,128.929,1
7740,129.129,1
7752,129.329,1
7764,129.529,1
7776,129.73,1
7788,129.93,1
7800,130.13,1
7812,130.33,1
7824,130.53,1
7836,130.731,1
7848,130.931,1
7860,131.131,1
7872,131.331,1
7884,131.531,1
7896,131.732,1
7908,131.932,1
7920,132.132,1
7932,132.332,1
7944,132.532,1
7956,132.733,1
7968,132.933,1
7980,133.133,1
7992,133.333,1
8004,133.533,1
8016,133.734,1
8028,133.934,1
8040,134.134,1
8052,134.334,1
8064,134.534,1
8076,134.735,1
8088,134.935,1
8100,135.135,1
8112,135.335,1
8124,135.535,1
8136,135.736,1
8148,135.936,1
8160,136.136,1
8172,136.336,1
8184,136.536,1
8196,136.737,1
8208,136.937,1
8220,137.137,1
8232,137.337,1
8244,137.537,1
8256,137.738,1
8268,137.938,1
8280,138.138,1
8292,138.338,1
8304,138.538,1
8316,138.739,1
8328,138.939,1
8340,139.139,1
8352,139.339,1
8364,139.539,1
8376,139.74,1
8388,139.94,1
8400,140.14,1
8412,140.34,1
8424,140.54,1
8436,140.741,1
8448,140.941,1
8460,141.141,1
8472,141.341,1
8484,141.541,1
8496,141.742,1
8508,141.942,1
8520,142.142,1
8532,142.342,1
8544,142.542,1
8556,142.743,1
8568,142.943,1
8580,143.143,1
8592,143.343,1
8604,143.543,1
8616,143.744,1
8628,143.944,1
8640,144.144,1
8652,144.344,1
8664,144.544,1
8676,144.745,1
8688,144.945,1
8700,145.145,1
8712,145.345,1
8724,145.545,1
8736,145.746,1
8748,145.946,1
8760,146.146,1
8772,146.346,1
8784,146.546,1
8796,146.747,1
8808,146.947,1
8820,147.147,1
8832,147.347,1
8844,147.547,1
8856,147.748,1
8868,147.948,1
8880,148.148,1
8892,148.348,1
8904,148.548,1
8916,148.749,1
8928,148.949,1
8940,149.149,1
8952,149.349,1
8964,149.549,1
8976,149.75,1
8988,149.95,1
9000,150.15,1
9012,150.35,1
9024,150.55,1
9036,150.751,1
9048,150.951,1
9060,151.151,1
9072,151.351,1
9084,151.551,1
9096,151.752,1
9108,151.952,1
9120,152.152,1
9132,152.352,1
9144,152.552,1
9156,152.753,1
9168,152.953,1
9180,153.153,1
9192,153.353,1
9204,153.553,1
9216,153.754,1
9228,153.954,1
9240,154.154,1
9252,154.354,1
9264,154.554,1
9276,154.755,1
9288,154.955,1
9300,155.155,1
9312,155.355,1
9324,155.555,1
9336,155.756,1
9348,155.956,1
9360,156.156,1
9372,156.356,1
9384,156.556,1
9396,156.757,1
9408,156.957,1
9420,157.157,1
9432,157.357,1
9444,157.557,1
9456,157.758,1
9468,157.958,1
9480,158.158,1
9492,158.358,1
9504,158.558,1
9516,158.759,1
9528,158.959,1
9540,159.159,1
9552,159.359,1
9564,159.559,1
9576,159.76,1
9588,159.96,1
9600,160.16,1
9612,160.36,1
9624,160.56,1
9636,160.761,1
9648,160.961,1
9660,161.161,1
9672,161.361,1
9684,161.561,1
9696,161.762,1
9708,161.962,1
9720,162.162,1
9732,162.362,1
9744,162.562,1
9756,162.763,1
9768,162.963,1
9780,163.163,1
9792,163.363,1
9804,163.563,1
9816,163.764,1
9828,163.964,1
9840,164.164,1
9852,164.364,1
9864,164.564,1
9876,164.765,1
9888,164.965,1
9900,165.165,1
9912,165.365,1
9924,165.565,1
9936,165.766,1
9948,165.966,1
9960,166.166,1
9972,166.366,1
9984,166.566,1
9996,166.767,1
10008,166.967,1
10020,167.167,1
10032,167.367,1
10044,167.567,1
10056,167.768,1
10068,167.968,1
10080,168.168,1
10092,168.368,1
10104,168.568,1
10116,168.769,1
10128,168.969,1
10140,169.169,1
10152,169.369,1
10164,169.569,1
10176,169.77,1
10188,169.97,1
10200,170.17,1
10212,170.37,1
10224,170.57,1
10236,170.771,1
10248,170.971,1
10260,171.171,1
10272,171.371,1
10284,171.571,1
10296,171.772,1
10308,171.972,1
10320,172.172,1
10332,172.372,1
10344,172.572,1
10356,172.773,1
10368,172.973,1
10380,173.173,1
10392,173.373,1
10404,173.573,1
10416,173.774,1
10428,173.974,1
10440,174.174,1
10452,174.374,1
10464,174.574,1
10476,174.775,1
10488,174.975,1
10500,175.175,1
10512,175.375,1
10524,175.575,1
10536,175.776,1
10548,175.976,1
10560,176.176,1
10572,176.376,1
10584,176.576,1
10596,176.777,1
10608,176.977,1
10620,177.177,1
10632,177.377,1
10644,177.577,1
10656,177.778,1
10668,177.978,1
10680,178.178,1
10692,178.378,1
10704,178.578,1
10716,178.779,1
10728,178.979,1
10740,179.179,1
10752,179.379,1
10764,179.579,1
10776,179.78,1
10788,179.98,1
10800,180.18,1
10812,180.38,1
10824,180.58,1
10836,180.781,1
10848,180.981,1
10860,181.181,1
10872,181.381,1
10884,181.581,1
10896,181.782,1
10908,181.982,1
10920,182.182,1
10932,182.382,1
10944,182.582,1
10956,182.783,1
10968,182.983,1
10980,183.183,1
10992,183.383,1
11004,183.583,1
11016,183.784,1
11028,183.984,1
11040,184.184,1
11052,184.384,1
11064,184.584,1
11076,184.785,1
11088,184.985,1
11100,185.185,1
11112,185.385,1
11124,185.585,1
11136,185.786,1
11148,185.986,1
11160,186.186,1
11172,186.386,1
11184,186.586,1
11196,186.787,1
11208,186.987,1
11220,187.187,1
11232,187.387,1
11244,187.587,1
11256,187.788,1
11268,187.988,1
11280,188.188,1
11292,188.388,1
11304,188.588,1
11316,188.789,1
11328,188.989,1
11340,189.189,1
11352,189.389,1
11364,189.589,1
11376,189.79,1
11388,189.99,1
11400,190.19,1
11412,190.39,1
11424,190.59,1
11436,190.791,1
11448,190.991,1
11460,191.191,1
11472,191.391,1
11484,191.591,1
11496,191.792,1
11508,191.992,1
11520,192.192,1
11532,192.392,1
11544,192.592,1
11556,192.793,1
11568,192.993,1
11580,193.193,1
11592,193.393,1
11604,193.593,1
11616,193.794,1
11628,193.994,1
11640,194.194,1
11652,194.394,1
11664,194.594,1
11676,194.795,1
11688,194.995,1
11700,195.195,1
11712,195.395,1
11724,195.595,1
11736,195.796,1
11748,195.996,1
11760,196.196,1
11772,196.396,1
11784,196.596,1
11796,196.797,1
11808,196.997,1
11820,197.197,1
11832,197.397,1
11844,197.597,1
11856,197.798,1
11868,197.998,1
11880,198.198,1
11892,198.398,1
11904,198.598,1
11916,198.799,1
11928,198.999,1
11940,199.199,1
11952,199.399,1
11964,199.599,1
11976,199.8,1
11988,200.0,1
12000,200.2,1
12012,200.4,1
12024,200.6,1
12036,200.801,1
12048,201.001,1
12060,201.201,1
12072,201.401,1
12084,201.601,1
12096,201.802,1
12108,202.002,1
12120,202.202,1
12132,202.402,1
12144,202.602,1
12156,202.803,1
12168,203.003,1
12180,203.203,1
12192,203.403,1
12204,203.603,1
12216,203.804,1
12228,204.004,1
12240,204.204,1
12252,204.404,1
12264,204.604,1
12276,204.805,1
12288,205.005,1
12300,205.205,1
12312,205.405,1
12324,205.605,1
12336,205.806,1
12348,206.006,1
12360,206.206,1
12372,206.406,1
12384,206.606,1
12396,206.807,1
12408,207.007,1
12420,207.207,1
12432,207.407,1
12444,207.607,1
12456,207.808,1
12468,208.008,1
12480,208.208,1
12492,208.408,1
12504,208.608,1
12516,208.809,1
12528,209.009,1
12540,209.209,1
12552,209.409,1
12564,209.609,1
12576,209.81,1
12588,210.01,1
12600,210.21,1
12612,210.41,1
12624,210.61,1
12636,210.811,1
12648,211.011,1
12660,211.211,1
12672,211.411,1
12684,211.611,1
12696,211.812,1
12708,212.012,1
12720,212.212,1
12732,212.412,1
12744,212.612,1
12756,212.813,1
12768,213.013,1
12780,213.213,1
12792,213.413,1
12804,213.613,1
12816,213.814,1
12828,214.014,1
12840,214.214,1
12852,214.414,1
12864,214.614,1
12876,214.815,1
12888,215.015,1
12900,215.215,1
12912,215.415,1
12924,215.615,1
12936,215.816,1
12948,216.016,1
12960,216.216,1
12972,216.416,1
12984,216.616,1
12996,216.817,1
13008,217.017,1
13020,217.217,1
13032,217.417,1
13044,217.617,1
13056,217.818,1
13068,218.018,1
13080,218.218,1
13092,218.418,1
13104,218.618,1
13116,218.819,1
13128,219.019,1
13140,219.219,1
13152,219.419,1
13164,219.619,1
13176,219.82,1
13188,220.02,1
13200,220.22,1
13212,220.42,1
13224,220.62,1
13236,220.821,1
13248,221.021,1
13260,221.221,1
13272,221.421,1
13284,221.621,1
13296,221.822,1
13308,222.022,1
13320,222.222,1
13332,222.422,1
13344,222.622,1
13356,222.823,1
13368,223.023,1
13380,223.223,1
13392,223.423,1
13404,223.623,1
13416,223.824,1
13428,224.024,1
13440,224.224,1
13452,224.424,1
13464,224.624,1
13476,224.825,1
13488,225.025,1
13500,225.225,1
13512,225.425,1
13524,225.625,1
13536,225.826,1
13548,226.026,1
13560,226.226,1
13572,226.426,1
13584,226.626,1
13596,226.827,1
13608,227.027,1
13620,227.227,1
13632,227.427,1
13644,227.627,1
13656,227.828,1
13668,228.028,1
13680,228.228,1
13692,228.428,1
13704,228.628,1
13716,228.829,1
13728,229.029,1
13740,229.229,1
13752,229.429,1
13764,229.629,1
13776,229.83,1
13788,230.03,1
13800,230.23,1
13812,230.43,1
13824,230.63,1
13836,230.831,1
13848,231.031,1
13860,231.231,1
13872,231.431,1
13884,231.631,1
13896,231.832,1
13908,232.032,1
13920,232.232,1
13932,232.432,1
13944,232.632,1
13956,232.833,1
13968,233.033,1
13980,233.233,1
13992,233.433,1
14004,233.633,1
14016,233.834,1
14028,234.034,1
14040,234.234,1
14052,234.434,1
14064,234.634,1
14076,234.835,1
14088,235.035,1
14100,235.235,1
14112,235.435,1
14124,235.635,1
14136,235.836,1
14148,236.036,1
14160,236.236,1
14172,236.436,1
14184,236.636,1
14196,236.837,1
14208,237.037,1
14220,237.237,1
14232,237.437,1
14244,237.637,1
14256,237.838,1
14268,238.038,1
14280,238.238,1
14292,238.438,1
14304,238.638,1
14316,238.839,1
14328,239.039,1
14340,239.239,1
14352,239.439,1
14364,239.639,1
14376,239.84,1
14388,240.04,1
14400,240.24,1
14412,240.44,1
14424,240.64,1
14436,240.841,1
14448,241.041,1
14460,241.241,1
14472,241.441,1
14484,241.641,1
14496,241.842,1
14508,242.042,1
14520,242.242,1
14532,242.442,1
14544,242.642,1
14556,242.843,1
14568,243.043,1
14580,243.243,1
14592,243.443,1
14604,243.643,1
14616,243.844,1
14628,244.044,1
14640,244.244,1
14652,244.444,1
14664,244.644,1
14676,244.845,1
14688,245.045,1
14700,245.245,1
14712,245.445,1
14724,245.645,1
14736,245.846,1
14748,246.046,1
14760,246.246,1
14772,246.446,1
14784,246.646,1
14796,246.847,1
14808,247.047,1
14820,247.247,1
14832,247.447,1
14844,247.647,1
14856,247.848,1
14868,248.048,1
14880,248.248,1
14892,248.448,1
14904,248.648,1
14916,248.849,1
14928,249.049,1
14940,249.249,1
14952,249.449,1
14964,249.649,1
14976,249.85,1
14988,250.05,1
15000,250.25,1
15012,250.45,1
15024,250.65,1
15036,250.851,1
15048,251.051,1
15060,251.251,1
15072,251.451,1
15084,251.651,1
15096,251.852,1
15108,252.052,1
15120,252.252,1
15132,252.452,1
15144,252.652,1
15156,252.853,1
15168,253.053,1
15180,253.253,1
15192,253.453,1
15204,253.653,1
15216,253.854,1
15228,254.054,1
15240,254.254,1
15252,254.454,1
15264,254.654,1
15276,254.855,1
15288,255.055,1
15300,255.255,1
15312,255.455,1
15324,255.655,1
15336,255.856,1
15348,256.056,1
15360,256.256,1
15372,256.456,1
15384,256.656,1
15396,256.857,1
15408,257.057,1
15420,257.257,1
15432,257.457,1
15444,257.657,1
15456,257.858,1
15468,258.058,1
15480,258.258,1
15492,258.458,1
15504,258.658,1
15516,258.859,1
15528,259.059,1
15540,259.259,1
15552,259.459,1
15564,259.659,1
15576,259.86,1
15588,260.06,1
15600,260.26,1
15612,260.46,1
15624,260.66,1
15636,260.861,1
15648,261.061,1
15660,261.261,1
15672,261.461,1
15684,261.661,1
15696,261.862,1
15708,262.062,1
15720,262.262,1
15732,262.462,1
15744,262.662,1
15756,262.863,1
15768,263.063,1
15780,263.263,1
15792,263.463,1
15804,263.663,1
15816,263.864,1
15828,264.064,1
15840,264.264,1
15852,264.464,1
15864,264.664,1
15876,264.865,1
15888,265.065,1
15900,265.265,1
15912,265.465,1
15924,265.665,1
15936,265.866,1
15948,266.066,1
15960,266.266,1
15972,266.466,1
15984,266.666,1
15996,266.867,1
16008,267.067,1
16020,267.267,1
16032,267.467,1
16044,267.667,1
16056,267.868,1
16068,268.068,1
16080,268.268,1
16092,268.468,1
16104,268.668,1
16116,268.869,1
16128,269.069,1
16140,269.269,1
16152,269.469,1
16164,269.669,1
16176,269.87,1
16188,270.07,1
16200,270.27,1
16212,270.47,1
16224,270.67,1
16236,270.871,1
16248,271.071,1
16260,271.271,1
16272,271.471,1
16284,271.671,1
16296,271.872,1
16308,272.072,1
16320,272.272,1
16332,272.472,1
16344,272.672,1
16356,272.873,1
16368,273.073,1
16380,273.273,1
16392,273.473,1
16404,273.673,1
16416,273.874,1
16428,274.074,1
16440,274.274,1
16452,274.474,1
16464,274.674,1
16476,274.875,1
16488,275.075,1
16500,275.275,1
16512,275.475,1
16524,275.675,1
16536,275.876,1
16548,276.076,1
16560,276.276,1
16572,276.476,1
16584,276.676,1
16596,276.877,1
16608,277.077,1
16620,277.277,1
16632,277.477,1
16644,277.677,1
16656,277.878,1
16668,278.078,1
16680,278.278,1
16692,278.478,1
16704,278.678,1
16716,278.879,1
16728,279.079,1
16740,279.279,1
16752,279.479,1
16764,279.679,1
16776,279.88,1
16788,280.08,1
16800,280.28,1
16812,280.48,1
16824,280.68,1
16836,280.881,1
16848,281.081,1
16860,281.281,1
16872,281.481,1
16884,281.681,1
16896,281.882,1
16908,282.082,1
16920,282.282,1
16932,282.482,1
16944,282.682,1
16956,282.883,1
16968,283.083,1
16980,283.283,1
16992,283.483,1
17004,283.683,1
17016,283.884,1
17028,284.084,1
17040,284.284,1
17052,284.484,1
17064,284.684,1
17076,284.885,1
17088,285.085,1
17100,285.285,1
17112,285.485,1
17124,285.685,1
17136,285.886,1
17148,286.086,1
17160,286.286,1
17172,286.486,1
17184,286.686,1
17196,286.887,1
17208,287.087,1
17220,287.287,1
17232,287.487,1
17244,287.687,1
17256,287.888,1
17268,288.088,1
17280,288.288,1
17292,288.488,1
17304,288.688,1
17316,288.889,1
17328,289.089,1
17340,289.289,1
17352,289.489,1
17364,289.689,1
17376,289.89,1
17388,290.09,1
17400,290.29,1
17412,290.49,1
17424,290.69,1
17436,290.891,1
17448,291.091,1
17460,291.291,1
17472,291.491,1
17484,291.691,1
17496,291.892,1
17508,292.092,1
17520,292.292,1
17532,292.492,1
17544,292.692,1
17556,292.893,1
17568,293.093,1
17580,293.293,1
17592,293.493,1
17604,293.693,1
17616,293.894,1
17628,294.094,1
17640,294.294,1
17652,294.494,1
17664,294.694,1
17676,294.895,1
17688,295.095,1
17700,295.295,1
17712,295.495,1
17724,295.695,1
17736,295.896,1
17748,296.096,1
17760,296.296,1
17772,296.496,1
17784,296.696,1
17796,296.897,1
17808,297.097,1
17820,297.297,1
17832,297.497,1
17844,297.697,1
17856,297.898,1
17868,298.098,1
17880,298.298,1
17892,298.498,1
17904,298.698,1
17916,298.899,1
17928,299.099,1
17940,299.299,1
17952,299.499,1
17964,299.699,1
17976,299.9,1
17988,300.1,1
18000,300.3,1
18012,300.5,1
18024,300.7,1
18036,300.901,1
18048,301.101,1
18060,301.301,1
18072,301.501,1
18084,301.701,1
18096,301.902,1
18108,302.102,1
18120,302.302,1
18132,302.502,1
18144,302.702,1
18156,302.903,1
18168,303.103,1
18180,303.303,1
18192,303.503,1
18204,303.703,1
18216,303.904,1
18228,304.104,1
18240,304.304,1
18252,304.504,1
18264,304.704,1
18276,304.905,1
18288,305.105,1
18300,305.305,1
18312,305.505,1
18324,305.705,1
18336,305.906,1
18348,306.106,1
18360,306.306,1
18372,306.506,1
18384,306.706,1
18396,306.907,1
18408,307.107,1
18420,307.307,1
18432,307.507,1
18444,307.707,1
18456,307.908,1
18468,308.108,1
18480,308.308,1
18492,308.508,1
18504,308.708,1
18516,308.909,1
18528,309.109,1
18540,309.309,1
18552,309.509,1
18564,309.709,1
18576,309.91,1
18588,310.11,1
18600,310.31,1
18612,310.51,1
18624,310.71,1
18636,310.911,1
18648,311.111,1
18660,311.311,1
18672,311.511,1
18684,311.711,1
18696,311.912,1
18708,312.112,1
18720,312.312,1
