segment,frame,video_time,match_time,score,raw_ocr,ocr_confidence
14,156555,2611.859,,,PANDAFC = 4 ‘ y 0 @ soca FC - ] yt —_—,45.54
14,156738,2614.912,,,PANDAFC = 4140 #8) Josarc,48.0
14,156921,2617.965,,,~ PANDAFC => 4 W 0 @ soca FC — . A g g,47.64
14,157104,2621.018,,,"-PANDAFC «> aw 0 ""9 JOGAFC — SE wars = Be a Pe es",32.57
14,157287,2624.071,,,"PANDAFC° >: G N y Q =) OCA FC , . fp oY. —",32.29
14,157470,2627.124,,,PANDAFC > N i) q @-) JocAFC -,42.25
14,157653,2630.178,,4-1,PanpAFC = 41°70 9 JOGAFC’,37.8
14,157836,2633.231,,7-0,PANDAFC =: 4 ‘ 7 0 @) soca Fc,54.67
14,158019,2636.284,,,"PANDAFC:- «=: 4 Vy, 0 @) JOGA FC Rel be - sg fo. . ~ n dg",30.06
14,158202,2639.337,,,PANDAFC > Vy Q =) JOcA FC | ry ~~ ae ae,35.25
14,158385,2642.39,,4-0,PANDAFC =: 4 0 ‘a? JOGAFC : =~ 7 7%. - iF,36.58
14,158568,2645.443,,,PANDAFC = 4 y 0 #5) Jocarc — a we eee 7,56.42
14,158751,2648.496,,,PANDAFC => 5 yi 0 @ socarc,49.14
14,158934,2651.549,,,PANDA FC = aN y 0 @ JOGAFC _ Qe =e A 4 (“EEE,56.93
14,159117,2654.602,,,—= in — ~ -—,26.4
14,159300,2657.655,,,va _ ~ oad - N a - = . 5° = - a : - - e = & =. “J ; Io« » . . ; oy v - - . = —- - ~~ se * ~ - 7 s- Te -,39.36
15,159696,2664.262,,,es me ee,25.33
15,159726,2664.762,,,"Eo ~<, PT n ~ = ee +",33.25
15,159756,2665.263,,,"ek ey 7 . —— - 7 / <2, ‘ -- ie. -",34.54
15,159786,2665.763,,,"ed: EE . . —"" ~~ Pee |",23.12
15,159816,2666.264,,4-4,Set ee ee i . 7 ~ >. meee . a z . = —- ee . . os wa 44 era 4,36.35
15,159846,2666.764,,,ee et pee fm <_. = a —— B a : a,28.08
15,159876,2667.265,,,"aa ae (a 7 GS ep 1 ; os a 7, jae —N 3",24.93
15,159906,2667.765,,,2s ee,13.0
16,159948,2668.466,,,~ = okt 7 ; ~~ ae ee ~f ~,45.2
16,159980,2669.0,,,~— ~ fo = — 7 - - NG i oe ot —m- | 3 a,34.81
16,160012,2669.534,,,oe ~ a> ~ a ~ ee mA 3 . a. —r - z,42.93
16,160044,2670.067,,,Pe rns ae ‘ : ~* / ; i ; 3 SS ee OW —_ - 3 =,34.33
17,160080,2670.668,,,"ae } USO. ; = - F Sk =i -* a ‘ - ~ aay <= ; : hs, Sage — = — em iS ‘vy ll",28.15
17,160116,2671.269,,,= ~ i ad nad ms. a ~ . j a ad ‘ 7 ‘ - ~ - Pa <a . : = — = -- . ; ro : a Wig? =~,39.06
18,160272,2673.871,,,"ae - “ i a ~ tee 7 ° a x — , 7 ae __ : . rim",32.79
18,160431,2676.524,,,a | . . . o ie ae ee — ee : om aes . oN : - ; ar ANG | 4,31.48
18,160590,2679.177,,,"2, ~ ‘a — i ¢ an ° ; % ” nodes a"" [Pe ~ aad ; | ~ < a Gee - eee : | = ~. NX ' = : x: a",34.06
18,160749,2681.829,,,Hy b PANDAFC = 5 \~,60.17
18,160908,2684.482,,7-0,PANDA FC =: ay 7 0 @) soca Fc —  Y iwiy ae TT «Fr RA,45.06
18,161067,2687.134,,7-0,"PANDAFC => 5 N 7 0 @) soca FC a | ivf | - "" (2) RR",45.0
18,161226,2689.787,,7-0,"PANDAFC = 5 N 7 0 @ scare aa) iW | | pT "" pany wpe",46.44
18,161385,2692.44,,, PANDAFC => 5 \ y 0 @ soca FC,46.89
18,161544,2695.092,,7-2,"PANDAFC => 5 WW 0 ""9 JOGAFC - 7 2 Pa ~ 4...",45.0
18,161703,2697.745,,0-9,"PANDAFC = 5 Vy, 0 9 JOGA FC iii. '-! ae >» UP Aa £-",27.07
18,161862,2700.398,,,E BPANDA Fc c: 540 @ socare,35.29
18,162021,2703.05,,4-0,panparc = 5\%4 0 @9 socarc,37.0
18,162180,2705.703,,4-0,PANDAFC = 5 (“40 &) JocArc,43.17
18,162339,2708.356,,7-0,ANDAFC 5\°7 0 Ge) Jocarc,36.6
18,162498,2711.008,,7-0,PANDAFC = 5\° 70 @ socarc,31.0
18,162657,2713.661,,,LU) 0 % JOGA FC,31.6
18,162816,2716.314,,5-0,PANDA FC =: 5 0 % JOGAFC ~ o EE © ~=—6 ee 7,41.79
18,162975,2718.966,,,"PANDAFC => 5 Vy, 0 @ Jocarc ~ _ es 2 Ae id",36.69
18,163134,2721.619,,5-4,PANDA FC © =: 54 ey JOGAFC ~ Seo a UN ‘,42.0
18,163293,2724.272,,7-0,"PANDA FC - =: aN 7 0 @"" socarc — ee ee a rr z ‘",42.0
18,163452,2726.924,,6-7,PANDAFC >: 6 7 0 @* socarc — re ee . pea bd ‘,51.43
19,163728,2731.529,,,as,0.0
19,163852,2733.598,,,pS “ee . ay o mm = - 2 EP ge ~ re Z,22.5
19,163976,2735.666,,,. a,25.0
19,164100,2737.735,,1-3,Oa a eT 7“ “G-1-3 ee oe <_< rg a” es NN fii,25.69
19,164224,2739.804,,,i a / ~ Fed. 7 . : ° Pod = ——' . C—O,23.86
19,164348,2741.872,,,_ een ee o* { : - + — a 7 a ee J,32.93
19,164472,2743.941,,,ae rs,38.0
19,164596,2746.01,,,"i es = es "" en 7 “SS ow mee * wee § a ee rN vat",34.94
19,164720,2748.079,,,rE nn er _ ee . ~ «! et ee = 3 aT “tN ‘ aa of a ee ail rt,22.81
19,164844,2750.147,,,7 i ~  4*> = _ “sr. -. 7 u : 6 - — . _ —_- gf,32.83
19,164968,2752.216,,7-0,PANDA FC ° >: aN 7 0 f=} Jocarc — tly ON a |,45.29
19,165092,2754.285,,,PANDA FC aN i) 0 @ JOGA FC,48.62
19,165216,2756.354,,,"PANDAFC = 6 Vy, 0 JOGA FC as aa /, wy En ip-n | ca",33.8
19,165340,2758.422,,,"PANDA FC © aN y 0 @) socarc er . mweisoso, va ee od Fs. d",44.62
19,165464,2760.491,,,"PANDAFC::: 6 Vy, 0 = JOGAFC es | . iwi 5 a pe",51.31
19,165588,2762.56,,,"PANDAFC =. 6 Vy, 0 =) JOGA FC er ean. -y © ree;",32.46
19,165712,2764.629,,,PANDAFC >: 6 ‘ 7 Q #) JOGAFC — rWeid . ~~. TxXn,37.69
19,165836,2766.697,,,PANDA FC =: Vy) 0 % JOGAFC - | ee ' nr Pens,44.92
19,165960,2768.766,,,"PANDA FC «= aN 70 3 sooare nn | , o4 ef",32.42
19,166084,2770.835,,,PANDAFC > 6 y 0 @ JocArc | on | \ | ' ee | i,56.06
19,166208,2772.903,,,,0.0
20,166284,2774.171,,,ee ~ | |,43.25
20,166485,2777.525,,,ss,34.0
20,166686,2780.878,,,YY | .,24.33
20,166887,2784.231,,,ae > Maroy lele,22.25
20,167088,2787.585,,,a A= aHUub,22.67
20,167289,2790.938,,,,0.0
20,167490,2794.292,,,,0.0
20,167691,2797.645,,,,0.0
20,167892,2800.998,,,® == 4 @,35.0
20,168093,2804.352,,,pin,23.0
20,168294,2807.705,,,,0.0
20,168495,2811.058,,,,0.0
20,168696,2814.412,,,,0.0
20,168897,2817.765,,,,0.0
20,169098,2821.118,,,} go eHuk,12.67
20,169299,2824.472,,,pyerup,1.0
20,169500,2827.825,,,Pye,0.0
20,169701,2831.178,,,,0.0
20,169902,2834.532,,,,0.0
20,170103,2837.885,,,> ~S,4.5
20,170304,2841.238,,,«Hub,26.0
